feature,importance
Outlet_Type,0.39080079838607773
Item_MRP,0.22874643357818028
MRP_Band,0.1326306377542353
Outlet_Years,0.07832757475243259
Outlet_Establishment_Year,0.06861711852870084
Item_Visibility,0.04194659329575593
Item_Weight,0.016087171138001632
Outlet_Location_Type,0.014499115878768008
Outlet_Size,0.012536917294267584
Item_Type,0.009736463212214335
Item_Fat_Content,0.003261961753928891
Item_Type_Combined,0.002809214427436828
